2026/09/17 23:22:02.205, 3.37 W, 0 %, 41, 0x0000000000000001
2026/09/17 23:22:03.236, 3.40 W, 0 %, 41, 0x0000000000000000
2026/09/17 23:22:04.252, 21.26 W, 0 %, 42, 0x0000000000000000
2026/09/17 23:22:05.268, 25.11 W, 13 %, 42, 0x0000000000000000
2026/09/17 23:22:06.281, 30.19 W, 3 %, 44, 0x0000000000000000
2026/09/17 23:22:07.294, 21.33 W, 0 %, 43, 0x0000000000000000
2026/09/17 23:22:08.307, 21.43 W, 0 %, 43, 0x0000000000000000
2026/09/17 23:22:09.324, 50.83 W, 39 %, 46, 0x0000000000000000
2026/09/17 23:22:10.336, 49.63 W, 100 %, 47, 0x0000000000000000
2026/09/17 23:22:11.350, 50.65 W, 98 %, 47, 0x0000000000000000
2026/09/17 23:22:12.363, 75.35 W, 92 %, 49, 0x0000000000000004
2026/09/17 23:22:13.366, 79.78 W, 85 %, 50, 0x0000000000000004
2026/09/17 23:22:14.369, 50.36 W, 88 %, 49, 0x0000000000000000
2026/09/17 23:22:15.381, 79.53 W, 91 %, 52, 0x0000000000000004
2026/09/17 23:22:16.384, 30.16 W, 4 %, 47, 0x0000000000000000
2026/09/17 23:22:17.396, 21.64 W, 0 %, 46, 0x0000000000000000
2026/09/17 23:22:18.411, 21.57 W, 0 %, 45, 0x0000000000000000
2026/09/17 23:22:19.426, 21.67 W, 0 %, 45, 0x0000000000000000
2026/09/17 23:22:20.441, 50.23 W, 19 %, 46, 0x0000000000000000
2026/09/17 23:22:21.454, 79.92 W, 95 %, 51, 0x0000000000000004
2026/09/17 23:22:22.457, 30.02 W, 63 %, 48, 0x0000000000000000
2026/09/17 23:22:23.469, 30.03 W, 0 %, 47, 0x0000000000000000
2026/09/17 23:22:24.483, 21.65 W, 0 %, 46, 0x0000000000000000
2026/09/17 23:22:25.497, 21.65 W, 0 %, 46, 0x0000000000000000
2026/09/17 23:22:26.513, 21.68 W, 0 %, 46, 0x0000000000000000
2026/09/17 23:22:27.527, 21.57 W, 0 %, 46, 0x0000000000000000
2026/09/17 23:22:28.543, 21.63 W, 0 %, 46, 0x0000000000000000
2026/09/17 23:22:29.557, 21.64 W, 0 %, 46, 0x0000000000000000
2026/09/17 23:22:30.573, 21.69 W, 0 %, 46, 0x0000000000000000
2026/09/17 23:22:31.586, 21.65 W, 0 %, 46, 0x0000000000000000
2026/09/17 23:22:32.601, 21.64 W, 0 %, 46, 0x0000000000000000
2026/09/17 23:22:33.614, 21.57 W, 0 %, 46, 0x0000000000000000
2026/09/17 23:22:34.629, 80.67 W, 58 %, 52, 0x0000000000000004
2026/09/17 23:22:35.633, 30.11 W, 35 %, 48, 0x0000000000000000
2026/09/17 23:22:36.646, 26.50 W, 0 %, 48, 0x0000000000000000
2026/09/17 23:22:37.662, 21.78 W, 0 %, 47, 0x0000000000000000
2026/09/17 23:22:38.676, 21.69 W, 0 %, 47, 0x0000000000000000
2026/09/17 23:22:39.693, 21.70 W, 0 %, 47, 0x0000000000000000
2026/09/17 23:22:40.707, 21.74 W, 0 %, 47, 0x0000000000000000
2026/09/17 23:22:41.720, 21.91 W, 0 %, 47, 0x0000000000000000
2026/09/17 23:22:42.735, 21.73 W, 0 %, 47, 0x0000000000000000
2026/09/17 23:22:43.750, 21.76 W, 0 %, 47, 0x0000000000000000
2026/09/17 23:22:44.765, 21.76 W, 0 %, 47, 0x0000000000000000
2026/09/17 23:22:45.779, 21.73 W, 0 %, 47, 0x0000000000000000
2026/09/17 23:22:46.797, 51.37 W, 40 %, 50, 0x0000000000000000
2026/09/17 23:22:47.810, 51.30 W, 99 %, 50, 0x0000000000000000
2026/09/17 23:22:48.824, 51.42 W, 99 %, 51, 0x0000000000000000
2026/09/17 23:22:49.837, 79.57 W, 96 %, 54, 0x0000000000000004
2026/09/17 23:22:50.840, 51.17 W, 92 %, 51, 0x0000000000000000
2026/09/17 23:22:51.853, 58.17 W, 100 %, 52, 0x0000000000000000
2026/09/17 23:22:52.866, 51.55 W, 98 %, 52, 0x0000000000000004
2026/09/17 23:22:53.869, 51.22 W, 88 %, 53, 0x0000000000000000
2026/09/17 23:22:54.882, 77.22 W, 88 %, 55, 0x0000000000000004
2026/09/17 23:22:55.885, 30.37 W, 83 %, 52, 0x0000000000000000
2026/09/17 23:22:56.897, 30.77 W, 13 %, 51, 0x0000000000000000
2026/09/17 23:22:57.911, 22.10 W, 0 %, 50, 0x0000000000000000
2026/09/17 23:22:58.926, 22.09 W, 0 %, 49, 0x0000000000000000
2026/09/17 23:22:59.941, 22.04 W, 0 %, 49, 0x0000000000000000
2026/09/17 23:23:00.955, 22.08 W, 0 %, 49, 0x0000000000000000
2026/09/17 23:23:01.970, 22.00 W, 0 %, 49, 0x0000000000000000
2026/09/17 23:23:02.984, 22.01 W, 0 %, 49, 0x0000000000000000
2026/09/17 23:23:03.999, 22.11 W, 0 %, 49, 0x0000000000000000
2026/09/17 23:23:05.013, 22.07 W, 0 %, 49, 0x0000000000000000
2026/09/17 23:23:06.027, 22.07 W, 0 %, 49, 0x0000000000000000
