2026/09/17 19:03:35.927, 44, 3.64 W, 0 %, 103 MiB, 0x0000000000000001, Not Active, Not Active
2026/09/17 19:03:37.996, 44, 3.65 W, 0 %, 103 MiB, 0x0000000000000001, Not Active, Not Active
2026/09/17 19:03:40.063, 44, 3.49 W, 0 %, 103 MiB, 0x0000000000000001, Not Active, Not Active
2026/09/17 19:03:42.131, 44, 3.56 W, 0 %, 103 MiB, 0x0000000000000001, Not Active, Not Active
2026/09/17 19:03:44.198, 44, 3.56 W, 0 %, 103 MiB, 0x0000000000000001, Not Active, Not Active
2026/09/17 19:03:46.267, 44, 3.59 W, 0 %, 103 MiB, 0x0000000000000001, Not Active, Not Active
2026/09/17 19:03:48.334, 44, 3.55 W, 0 %, 103 MiB, 0x0000000000000001, Not Active, Not Active
2026/09/17 19:03:50.407, 44, 3.54 W, 0 %, 103 MiB, 0x0000000000000001, Not Active, Not Active
2026/09/17 19:03:52.473, 44, 3.64 W, 0 %, 103 MiB, 0x0000000000000001, Not Active, Not Active
2026/09/17 19:03:54.542, 44, 3.65 W, 0 %, 103 MiB, 0x0000000000000001, Not Active, Not Active
2026/09/17 19:03:56.610, 44, 3.49 W, 0 %, 103 MiB, 0x0000000000000001, Not Active, Not Active
2026/09/17 19:03:58.680, 44, 3.50 W, 0 %, 103 MiB, 0x0000000000000001, Not Active, Not Active
2026/09/17 19:04:00.746, 44, 3.53 W, 0 %, 103 MiB, 0x0000000000000001, Not Active, Not Active
2026/09/17 19:04:02.823, 44, 3.54 W, 0 %, 103 MiB, 0x0000000000000001, Not Active, Not Active
2026/09/17 19:04:04.892, 44, 3.50 W, 0 %, 103 MiB, 0x0000000000000001, Not Active, Not Active
2026/09/17 19:04:06.973, 44, 3.67 W, 0 %, 103 MiB, 0x0000000000000001, Not Active, Not Active
2026/09/17 19:04:09.043, 44, 3.76 W, 0 %, 103 MiB, 0x0000000000000001, Not Active, Not Active
2026/09/17 19:04:11.116, 44, 3.43 W, 0 %, 103 MiB, 0x0000000000000001, Not Active, Not Active
